"year","year_type","grid","squirrel_id","sex","cache_size_total","cache_size_new","cache_size_old","total_cones_tree","log_cache_size_new","log_cache_size_old","log_total_cones_tree"
2012,"non-mast","KL",11344,"F",1788.76613375334,746.957286622273,1041.80884713107,129.998,6.61734587289785,6.94967316603857,4.87518205590903
2013,"non-mast","KL",11344,"F",9331.40284578768,8425.70786369653,905.694982091157,152.574,9.03916144846877,6.80980610038188,5.03418253555231
2012,"non-mast","SU",11434,"M",2778.8368768706,54.486997585698,2724.3498792849,36.241,4.0161487155699,7.91035209492313,3.61741030489474
2013,"non-mast","SU",11434,"M",20567.6144039707,8295.76810088555,12271.8463030851,59.005,9.02362133251902,9.41514448334506,4.0944278920834
2014,"mast","SU",11434,"M",37682.5857567227,36978.8362773951,703.749479327588,263.342,10.5181280776029,6.55784239118953,5.57724371931451
2015,"post-mast","SU",11434,"M",30800.6979745699,0,30800.6979745699,0.006,0,10.3353250964866,0.00598207167754747
2016,"non-mast","SU",11434,"M",6748.14101991088,0,6748.14101991088,3.118,0,8.8171705194593,1.4153676086056
2010,"mast","KL",11460,"M",27816.5776527413,26947.0109861665,869.566666574875,1871.957,10.2016647697607,6.76914434050888,7.53527374435888
2012,"non-mast","KL",11460,"M",70138.6739852701,7032.97875383635,63105.6952314338,129.998,8.85850779253411,11.0525821479946,4.87518205590903
2013,"non-mast","KL",11460,"M",162275.041530364,42575.3872402245,119699.654290139,152.574,10.6590550884463,11.6927493576142,5.03418253555231
2009,"non-mast","KL",11489,"F",250.83653843506,188.127403826295,62.709134608765,93.163,5.24242088227914,4.15432795274883,4.54502732310718
2010,"mast","KL",11489,"F",10560.6600545829,9215.46935022396,1345.19070435898,1871.957,9.12874730939757,7.20503418245619,7.53527374435888
2011,"post-mast","KL",11489,"F",323.976742401447,0,323.976742401447,0.037,0,5.78375361792737,0.0363319292473902
2012,"non-mast","KL",11489,"F",68.3950900625278,27.3580360250111,41.0370540375167,129.998,3.34491044767958,3.73855146832779,4.87518205590903
2012,"non-mast","SU",11531,"M",25882.7964747629,0,25882.7964747629,36.241,0,10.1613724331715,3.61741030489474
2013,"non-mast","SU",11531,"M",20579.8753419659,4519.87916388972,16059.9961780762,59.005,8.41646175919791,9.68414901409987,4.0944278920834
2014,"mast","SU",11531,"M",18562.6674257422,15748.8694222926,2813.79800344961,263.342,9.66458735357132,7.94264578078761,5.57724371931451
